Algo, Seed, TP, TPMute, TPImp, PF, PFMute, PFImp, MacroMutingFreq, MicroMutingFreq, MacroMutingGain, MicroMutingGain
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_0.log, 0, 473.44, 483.11, 2.04, 50.11, 53.34, 6.44, 14.3, 7.18, 168.77, 44.93
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_1.log, 1, 446.49, 459.53, 2.92, 42.81, 47.04, 9.88, 13.54, 8.35, 218.03, 43.62
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_0.log, 0, 473.44, 485.45, 2.54, 50.11, 53.43, 6.62, 17.19, 7.58, 169.74, 44.43
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_1.log, 1, 446.49, 462.78, 3.65, 42.81, 47.29, 10.46, 15.82, 8.8, 211.21, 43.24
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_0.log, 0, 473.44, 486.23, 2.7, 50.11, 53.54, 6.84, 17.51, 7.65, 169.71, 44.19
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_1.log, 1, 446.49, 463.36, 3.78, 42.81, 47.4, 10.72, 16.33, 8.97, 209.7, 42.93
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_0.log, 0, 473.44, 486.79, 2.82, 50.11, 53.6, 6.96, 17.95, 7.77, 172.71, 44.35
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_1.log, 1, 446.49, 464.16, 3.96, 42.81, 47.48, 10.91, 16.72, 9.03, 210.23, 43.13
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_0.log, 0, 473.44, 485.45, 2.54, 50.11, 53.43, 6.62, 17.19, 7.58, 169.74, 44.43
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_1.log, 1, 446.49, 462.78, 3.65, 42.81, 47.29, 10.46, 15.82, 8.8, 211.21, 43.24
